OBJECTID,CD_GEOCODI,NM_BAIRRO,NM_SUBDIST,NM_DISTRIT,INDIC_AGUA_ADEQUADA,INDIC_ESGOTO_ADEQUADO,INDIC_LIXO_ADEQUADO,INDIC_MEDBANH_PES,INDIC_ANALFAB_10A14,INDIC_RENDARESP_POS_SM,INDIC_RENDARESP_POS_ATE2SM,INDIC_RENDARESP_P_MAISDE10SM,I_AGUA_ADEQUADA,I_ESGOTO_ADEQUADO,I_LIXO_ADEQUADO,I_MEDBANH_PES,I_ANALFAB_10A14,I_RENDARESP_POS_SM,I_RENDARESP_POS_ATE2SM,I_RENDARESP_P_MAISDE10SM,IDS
15099,330455705220203,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.385,0,2.09265233,70.96774194,1.07526882,1,1,1,0.17489505,1,0.02070428,0.29032258,0.01159274,0.56218933
15100,330455705220204,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.3458529,3.27868852,2.04159434,67.75956284,0.54644809,1,1,1,0.15711159,0.94535519,0.0199498,0.32240437,0.00589139,0.55633904
15101,330455705220205,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.36311239,1.78571429,2.10469697,66.36363636,0,1,1,1,0.16495211,0.9702381,0.02088227,0.33636364,0,0.56155451
15102,330455705220206,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.35469449,0,2.07364414,70.21276596,0,1,1,1,0.16112808,1,0.0204234,0.29787234,0,0.55992798
15103,330455705220207,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.3539823,4.76190476,2.3295832,62.29508197,1.09289617,1,1,1,0.16080455,0.92063492,0.02420541,0.37704918,0.01178279,0.56180961
15104,330455705220208,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.36624204,2.73972603,2.06796166,68.65671642,0.37313433,1,1,1,0.16637382,0.9543379,0.02033943,0.31343284,0.00402285,0.55731335
15105,330455705220209,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.36490528,0,2.31544196,61.66134185,0.63897764,1,1,1,0.16576657,1,0.02399645,0.38338658,0.00688898,0.57250482
15106,330455705220210,Bangu,BANGU,RIO DE JANEIRO,100,99.29078014,100,0.40981595,1.49253731,2.03105914,67.62295082,0.40983607,1,0.9929078,1,0.18616827,0.97512438,0.01979412,0.32377049,0.00441855,0.56277295
15107,330455705220211,Bangu,BANGU,RIO DE JANEIRO,100,98.92473118,100,0.36329588,1.85185185,2.09663061,70.11494253,0.57471264,1,0.98924731,1,0.16503546,0.9691358,0.02076307,0.29885057,0.00619612,0.55615354
15108,330455705220212,Bangu,BANGU,RIO DE JANEIRO,100,98.97435897,100,0.35168739,5.26315789,1.93475246,79.00552486,0.55248619,1,0.98974359,1,0.15976204,0.9122807,0.018371,0.20994475,0.00595649,0.53700732
15109,330455705220213,Bangu,BANGU,RIO DE JANEIRO,100,99.31034483,100,0.35689852,0,2.11403472,69.53405018,0.35842294,1,0.99310345,1,0.16212931,1,0.02102025,0.3046595,0.00386425,0.56059709
15110,330455705220214,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.37434095,4.87804878,2.15931373,67.70833333,0.52083333,1,1,1,0.17005293,0.91869919,0.02168934,0.32291667,0.00561523,0.55487167
15111,330455705220215,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.35575221,1.92307692,1.71396078,75.33333333,0,1,1,1,0.16160858,0.96794872,0.01510835,0.24666667,0,0.54891654
15112,330455705220216,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.37829457,6.66666667,1.62280963,77.21518987,0,1,1,1,0.17184896,0.88888889,0.01376141,0.2278481,0,0.53779342
15113,330455705220217,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.3078056,0,1.87039642,72.2826087,0,1,1,1,0.13982773,1,0.01742001,0.27717391,0,0.55430271
15114,330455705220218,Bangu,BANGU,RIO DE JANEIRO,99.37888199,100,100,0.34693878,0,1.94016958,77.02702703,0,0.99378882,1,1,0.15760487,1,0.01845104,0.22972973,0,0.54994681
15115,330455705220219,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.34194831,3.44827586,2.0105071,71.72413793,0.68965517,1,1,1,0.15533784,0.94252874,0.01949042,0.28275862,0.00743534,0.55094387
15116,330455705220220,Bangu,BANGU,RIO DE JANEIRO,100,100,99.57805907,0.33156499,1.66666667,2.21569535,63.88888889,0.46296296,1,1,0.99578059,0.15062098,0.97222222,0.02252249,0.36111111,0.00499132,0.56340609
15117,330455705220221,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.39280125,1.81818182,1.70052651,79.62962963,0.46296296,1,1,1,0.17843895,0.96969697,0.01490984,0.2037037,0.00499132,0.5464676
15118,330455705220222,Bangu,BANGU,RIO DE JANEIRO,100,96.01449275,100,0.39891452,0,2.10317782,68.58237548,0,1,0.96014493,1,0.18121604,1,0.02085982,0.31417625,0,0.55954963
15119,330455705220223,Bangu,BANGU,RIO DE JANEIRO,100,100,100,0.35376344,1.42857143,1.79496037,72.34042553,0,1,1,1,0.16070513,0.97619048,0.01630529,0.27659574,0,0.55372458
15120,330455705220224,Bangu,BANGU,RIO DE JANEIRO,98.70967742,98.70967742,100,0.38028169,3.84615385,1.98481569,66.4,0,0.98709677,0.98709677,1,0.17275165,0.93589744,0.01911078,0.336,0,0.55474418
