openalex_id,title,category_id,old_stage2_score,new_stage2_sim,old_status,new_status,old_score,new_score,old_item,new_item
https://openalex.org/W350117068,For the Plaintiffs- Equal School Resource Allocation,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W350117068,For the Plaintiffs- Equal School Resource Allocation,ses-aggregated,0.0,6.461,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W350117068,For the Plaintiffs- Equal School Resource Allocation,geometry-schools,2.0,13.793,available,available,7.0,21.8,498e637753bd4e0da76e90103dd21eb7,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W2050454953,História dos conceitos e teoria política e social: referências preliminares,geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W631224826,A distribuição da renda no Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W631224826,A distribuição da renda no Brasil,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W631224826,A distribuição da renda no Brasil,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1578041490,Os Determinantes da Desigualdade de Renda no Brasil: Luta de Classes ou Heterogeneidade Educacional?,longitudinal-cohort,2.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2801595228,"Práticas de saúde em contextos de vulnerabilização e negligência de doenças, sujeitos e territórios:",microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2100297951,Far away from a skill-biased change: falling educational wage premia in Italy,travel-network,0.0,7.087,,external,0.0,0.0,,
https://openalex.org/W2100297951,Far away from a skill-biased change: falling educational wage premia in Italy,microdata-household,2.0,25.046,external,external,0.0,0.0,,
https://openalex.org/W2102395463,The effect of a social experiment in education,geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W2102395463,The effect of a social experiment in education,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W2102395463,The effect of a social experiment in education,ses-aggregated,0.0,6.461,available,available,17.0,18.95,0afd8c122fb4400b847693e715106304,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W2102395463,The effect of a social experiment in education,geometry-schools,0.0,6.461,available,available,13.0,21.8,0a220ea7972449e39a28210dd317f636,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W2026651953,EDUCATION OR INFLATION?: THE MICRO AND MACROECONOMICS OF THE BRAZILIAN INCOME DISTRIBUTION DURING 19,microdata-household,2.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3038346093,"Interfaces between Vulnerabilities, Governance, Innovation and Capacity of Response to COVID-19 in B",travel-network,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3038346093,"Interfaces between Vulnerabilities, Governance, Innovation and Capacity of Response to COVID-19 in B",geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W3038346093,"Interfaces between Vulnerabilities, Governance, Innovation and Capacity of Response to COVID-19 in B",geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W1566236920,Discriminação e Segmentação no Mercado de Trabalho e Desigualdade de Renda no Brasil,ses-aggregated,0.0,0.0,available,,17.0,0.0,0afd8c122fb4400b847693e715106304,
https://openalex.org/W1566236920,Discriminação e Segmentação no Mercado de Trabalho e Desigualdade de Renda no Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1566236920,Discriminação e Segmentação no Mercado de Trabalho e Desigualdade de Renda no Brasil,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2106465281,Cognitive and non‐cognitive predictors of success in adult education programs: Evidence from experim,travel-network,2.0,13.548,external,external,0.0,0.0,,
https://openalex.org/W2106465281,Cognitive and non‐cognitive predictors of success in adult education programs: Evidence from experim,microdata-household,0.0,7.087,,external,0.0,0.0,,
https://openalex.org/W2106465281,Cognitive and non‐cognitive predictors of success in adult education programs: Evidence from experim,longitudinal-cohort,0.0,8.43,,external,0.0,0.0,,
https://openalex.org/W3103392468,"Desigualdade de renda no Brasil, 1995-2019",ses-aggregated,0.0,0.0,available,,17.0,0.0,0afd8c122fb4400b847693e715106304,
https://openalex.org/W3103392468,"Desigualdade de renda no Brasil, 1995-2019",microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3103392468,"Desigualdade de renda no Brasil, 1995-2019",microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2033364671,"Cognitive Skills, Test Scores, and Social Stratification: The Role of Family and School-Level Resour",microdata-student,4.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2033364671,"Cognitive Skills, Test Scores, and Social Stratification: The Role of Family and School-Level Resour",performance-aggregated,3.0,0.0,available,,7.0,0.0,29d517eedb9c44379a07430280a12839,
https://openalex.org/W1489925231,High School Inputs and Their Contribution to School Performance,performance-aggregated,3.0,31.347,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1489925231,High School Inputs and Their Contribution to School Performance,ses-aggregated,0.0,6.461,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1489925231,High School Inputs and Their Contribution to School Performance,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W3022064754,"GEOGRAFIA E COVID-19: NEOLIBERALISMO, VULNERABILIDADES E LUTA PELA VIDA",travel-network,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2286363053,Considerações sobre a evolução recente da distribuição da renda no Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2286363053,Considerações sobre a evolução recente da distribuição da renda no Brasil,microdata-household,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2286363053,Considerações sobre a evolução recente da distribuição da renda no Brasil,longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3019651901,A COVID-19 na Baixada Fluminense: Colapso e apreensão a partir da periferia metropolitana do Rio de ,geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W3019651901,A COVID-19 na Baixada Fluminense: Colapso e apreensão a partir da periferia metropolitana do Rio de ,geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W3019651901,A COVID-19 na Baixada Fluminense: Colapso e apreensão a partir da periferia metropolitana do Rio de ,performance-aggregated,0.0,0.0,available,,10.0,0.0,7888fde5637e4f2fa54cfb80f32321e4,
https://openalex.org/W3022036644,Relação dos indicadores de desigualdade social na distribuição espacial dos casos de Zika Vírus,travel-network,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W3022036644,Relação dos indicadores de desigualdade social na distribuição espacial dos casos de Zika Vírus,geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W3022036644,Relação dos indicadores de desigualdade social na distribuição espacial dos casos de Zika Vírus,geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W211003090,School Finance In Transition.,ses-aggregated,0.0,0.0,available,,17.0,0.0,0afd8c122fb4400b847693e715106304,
https://openalex.org/W1549799882,"Food, Economics, and Health",geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W1549799882,"Food, Economics, and Health",geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W1549799882,"Food, Economics, and Health",longitudinal-cohort,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2075651775,Testando as hipóteses do modelo de mincer para o Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
