hex_id,ideb_bairro,nome,codbairro,codra,rp,cod_rp,area_plane
88a8a03925fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a02acbfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066c9fffff,Santíssimo,Santíssimo,143,18,Campo Grande,5.2,5
88a8a0671dfffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a06053fffff,Freguesia (Jacarepaguá),Freguesia (Jacarepaguá),120,16,Jacarepaguá,4.1,4
88a8a07183fffff,Joá,Joá,126,24,Barra da Tijuca,4.2,4
88a8a060a7fffff,Vicente de Carvalho,Vicente de Carvalho,073,14,Madureira,3.3,3
88a8a061a3fffff,Olaria,Olaria,042,10,Ramos,3.1,3
88a8a02e67fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a0624bfffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a02f63fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a03825fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a07423fffff,Vargem Pequena,Vargem Pequena,130,24,Barra da Tijuca,4.2,4
88a8a06347fffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a038cdfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a074cbfffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a03921fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a02845fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06443fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a02899fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a039c9fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a075c7fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a028edfffff,Paciência,Paciência,148,19,Santa Cruz,5.3,5
88a8a0761bfffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a02941fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06e01fffff,Irajá,Irajá,076,14,Madureira,3.3,3
88a8a076c3fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a02127fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06e55fffff,Irajá,Irajá,076,14,Madureira,3.3,3
88a8a029e9fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a07717fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a02a3dfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a0663bfffff,Senador Camará,Senador Camará,142,17,Bangu,5.1,5
88a8a02a91fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a06f51fffff,Brás de Pina,Brás de Pina,045,11,Penha,3.5,3
88a8a02ae5fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066e3fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a02b39fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06737fffff,Vila Militar,Vila Militar,135,33,Bangu,5.1,5
88a8a078bbfffff,Rio Comprido,Rio Comprido,007,3,Centro,1.1,1
88a8a0634bfffff,São Conrado,São Conrado,031,6,Zona Sul,2.1,2
88a8a06019fffff,Freguesia (Jacarepaguá),Freguesia (Jacarepaguá),120,16,Jacarepaguá,4.1,4
88a8a0606dfffff,Grajaú,Grajaú,038,9,Tijuca,2.2,2
88a8a0719dfffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a060c1fffff,Praça Seca,Praça Seca,124,16,Jacarepaguá,4.1,4
88a8a07ab3fffff,Leblon,Leblon,026,6,Zona Sul,2.1,2
88a8a06115fffff,Rocha,Rocha,058,13,Méier,3.2,3
88a8a06169fffff,Tijuca,Tijuca,033,8,Tijuca,2.2,2
88a8a02e2dfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a061bdfffff,Olaria,Olaria,042,10,Ramos,3.1,3
88a8a06211fffff,Gardênia Azul,Gardênia Azul,117,16,Jacarepaguá,4.1,4
88a8a06ad3fffff,Maré,Maré,157,30,Ramos,3.1,3
88a8a06265fffff,Itanhangá,Itanhangá,127,24,Barra da Tijuca,4.2,4
88a8a02f29fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a062b9fffff,Tanque,Tanque,123,16,Jacarepaguá,4.1,4
88a8a0630dfffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a07427fffff,Camorim,Camorim,129,24,Barra da Tijuca,4.2,4
88a8a0743dfffff,Vargem Pequena,Vargem Pequena,130,24,Barra da Tijuca,4.2,4
88a8a06361fffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a07491fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a074e5fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a0280bfffff,Cosmos,Cosmos,147,18,Campo Grande,5.2,5
88a8a0393bfffff,Barra de Guaratiba,Barra de Guaratiba,152,26,Guaratiba,5.4,5
88a8a06409fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a07539fffff,Barra Olímpica,Barra Olímpica,165,16,Jacarepaguá,4.1,4
88a8a0645dfffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a0758dfffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a039e3fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a075e1fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a02907fffff,Senador Vasconcelos,Senador Vasconcelos,145,18,Campo Grande,5.2,5
88a8a06505fffff,Guadalupe,Guadalupe,106,22,Pavuna,3.6,3
88a8a07635fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a02f67fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a0295bfffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a06559fffff,Vila Militar,Vila Militar,135,33,Bangu,5.1,5
88a8a07689fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a06e1bfffff,Pavuna,Pavuna,114,25,Pavuna,3.6,3
88a8a076ddfffff,Barra de Guaratiba,Barra de Guaratiba,152,26,Guaratiba,5.4,5
88a8a02a03fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06601fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a062a3fffff,Tanque,Tanque,123,16,Jacarepaguá,4.1,4
88a8a02195fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a07731fffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a02a57fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06655fffff,Senador Camará,Senador Camará,142,17,Bangu,5.1,5
88a8a021e9fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a02aabfffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066a9fffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a02b53fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06751fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a07881fffff,Humaitá,Humaitá,021,4,Zona Sul,2.1,2
88a8a078d5fffff,Lagoa,Lagoa,027,6,Zona Sul,2.1,2
88a8a070bbfffff,Barra da Tijuca,Barra da Tijuca,128,24,Barra da Tijuca,4.2,4
88a8a06033fffff,Piedade,Piedade,069,13,Méier,3.2,3
88a8a06087fffff,Madureira,Madureira,083,15,Madureira,3.3,3
88a8a071b7fffff,São Conrado,São Conrado,031,6,Zona Sul,2.1,2
88a8a060dbfffff,Jardim Sulacap,Jardim Sulacap,137,33,Bangu,5.1,5
88a8a06183fffff,Inhaúma,Inhaúma,054,12,Inhaúma,3.4,3
88a8a02e47fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a061d7fffff,Tomás Coelho,Tomás Coelho,056,12,Inhaúma,3.4,3
88a8a06a99fffff,Maré,Maré,157,30,Ramos,3.1,3
88a8a0622bfffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a02f43fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a062d3fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a07403fffff,Vargem Pequena,Vargem Pequena,130,24,Barra da Tijuca,4.2,4
88a8a06327fffff,Alto da Boa Vista,Alto da Boa Vista,034,8,Tijuca,2.2,2
88a8a07457fffff,Recreio dos Bandeirantes,Recreio dos Bandeirantes,132,24,Barra da Tijuca,4.2,4
88a8a074abfffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a03901fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a02825fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a03955fffff,Grumari,Grumari,133,24,Barra da Tijuca,4.2,4
88a8a07553fffff,Barra Olímpica,Barra Olímpica,165,16,Jacarepaguá,4.1,4
88a8a039a9fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a075a7fffff,Jacarepaguá,Jacarepaguá,115,16,Jacarepaguá,4.1,4
88a8a028cdfffff,Paciência,Paciência,148,19,Santa Cruz,5.3,5
88a8a064cbfffff,Bangu,Bangu,141,17,Bangu,5.1,5
88a8a02921fffff,Senador Vasconcelos,Senador Vasconcelos,145,18,Campo Grande,5.2,5
88a8a076a3fffff,Vargem Grande,Vargem Grande,131,24,Barra da Tijuca,4.2,4
88a8a02107fffff,Sepetiba,Sepetiba,150,19,Santa Cruz,5.3,5
88a8a029c9fffff,Campo Grande,Campo Grande,144,18,Campo Grande,5.2,5
88a8a02a1dfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a0661bfffff,Santíssimo,Santíssimo,143,18,Campo Grande,5.2,5
88a8a02ac5fffff,Santa Cruz,Santa Cruz,149,19,Santa Cruz,5.3,5
88a8a066c3fffff,Santíssimo,Santíssimo,143,18,Campo Grande,5.2,5
88a8a02b19fffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
88a8a06717fffff,Realengo,Realengo,139,33,Bangu,5.1,5
88a8a02b6dfffff,Guaratiba,Guaratiba,151,26,Guaratiba,5.4,5
