id,title,format,file_bytes,n_sheets,total_rows,max_cols,max_unique_first_col,years_min,years_max,num_views,tags
1a75d4a67a864ed6ab776a8a14cc7d6a,Educação Infantil e Ensino Fundamental: crescimento percentual do número de matrículas na rede pública no Município do Rio de Janeiro entre 1999-2008,xls,15360,1,20,3,11,1999,2008,65,Educação|Educação básica
1b8da7c026f84de78c6704438c8cda2f,"Educação Infantil (creche/pré-escola), Ensino Fundamental, Classe Especial e Educação Juvenil (PEJ): matrículas na rede municipal de ensino por idade, segundo as séries e matrícula inicial - 1999",xls,307712,15,845,20,27,1999,2013,92,Educação|Educação básica
1bdb25acf93949b0914f0c6579099656,"Ensino Fundamental: matrículas de alunos de 7 a 14 anos da rede pública municipal, sobre o total de pessoas nesta faixa etária residentes no Município do Rio de Janeiro - 2000-2006",xls,14336,1,18,4,10,2000,2006,55,Educação|Educação básica
1bfbb653359842fd9569adcec7f15293,"Ensino Fundamental - Número de escolas com abastecimento de água, de energia elétrica e esgoto sanitário, segundo a dependência administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,50176,5,151,5,12,2000,2022,146,Educação|Educação básica
1cf37307c721408da83b6d5aa5298144,"Número de docentes por regime de trabalho, segundo a dependência administrativa no Estado do Rio de Janeiro, entre 2001-2022",xls,104960,7,276,5,16,2001,2023,261,Educação|Ensino superior
1d5758f7eb6d4ff4b392a1cf66f4d1e4,"Educação Infantil  e Ensino fundamental: número de escolas, creches, turmas e matrículas na rede pública municipal, segundo as Coordenações Regionais de Educação, no Município do Rio de Janeiro entre 2004-2008",xls,56320,5,116,5,16,2004,2008,185,Educação|Educação básica
1dc77ea3ee9b4df1abe19c3a8dcbb1fd,"Educação Infantil e Ensino Fundamental: unidades escolares da rede pública municipal por modalidade e segmento, segundo as Coordenações Regionais de Educação (CRE) no Município do Rio de Janeiro, entre 2002-2009",xls,102912,8,227,9,32,2002,2009,74,Educação|Educação básica
1e5dbe226f594be292bf490ead9d2666,"Indicadores de Educação: atendimento educacional ao adolescente e jovem, percentagem de adolescentes e jovens por nível educacional e frequência escolar, por Bairros ou grupos de Bairros, incluindo definições, em 1991/2000",xls,112640,5,380,14,129,1991,2003,188,Educação|Ensino médio
1f908c6de87f42e7b4ae513788e0ccce,"Ensino de pós-graduação: número de programas de pós-graduação, por nível, agrupados por Instituição no Município do Rio de Janeiro entre 2000-2022",xls,365056,24,1053,8,50,2000,2024,110,Educação|Ensino superior
2052c5f289fc4a4da00e62b04f38d400,"Educação Infantil e Pré-escola: matrícula, por sexo e faixa etária, segundo as Dependências Administrativas, entre 1999-2006",xls,20480,1,60,11,17,1999,2007,233,Educação|Educação básica
2380ec5691a548179af0568397fd65b9,"Número de matrículas do ensino fundamental por idade e faixa etária, segundo as Dependências Administrativas, entre 1999-2020",xls,124928,3,154,5,19,1999,2020,286,Educação|Educação básica
2b18933bbdc0473395c95ef228a36cd3,"Ensino Fundamental: 2 segmento - docentes, por grau de formação, segundo as Dependências Administrativas, entre 1999-2020",xls,47616,3,162,5,21,1999,2020,115,Educação|Educação básica
2eab9bd9ffc848e2a7bc65ff73a60a99,"Educação Básica: número de estabelecimentos, nas diferentes modalidades de ensino, segundo as Dependências Administrativas, entre 2000-2006",xls,20480,1,61,6,17,2000,2007,58,Educação|Ensino médio
33e2cb0fb757488793d37e8875f32b6a,"Número de matrículas do ensino médio por sexo e faixa etária, segundo as Dependências Administrativas, entre 1999-2020",xls,48128,3,154,7,19,1999,2020,168,Educação|Ensino médio
35385dcefc5149fbb9fd8f91ee934043,Educação Infantil e Ensino Fundamental: crescimento percentual do número de matrículas na rede pública municipal no Município do Rio de Janeiro entre 1999-2008,xls,14848,1,20,3,12,1999,2008,94,Educação|Educação básica
37afdc360d54443190ef4282500199c0,"Educação Básica: distorção série-idade no ensino fundamental e médio, segundo as Dependências Administrativas, entre 2000-2005",xls,18432,1,47,4,15,2000,2007,64,Educação|Educação básica
3e5954ec17bd4d3aa2a4b5613a121dff,"Educação Especial: matrícula, por tipo de excepcionalidade, segundo as Dependências Administrativas, entre 2000-2002",xls,19968,1,40,12,6,2000,2007,111,Educação|Educação básica
3eca7dc5130046f3b66e325068599b2a,"Educação Infantil (creches): matrículas e no. de creches na rede pública municipal, por Área de Planejamento (AP), Coordenadoria Regional de Educação (CRE), Região Administrativa (RA) e Bairros do Município do Rio de Janeiro entre Janeiro/2006-Janeiro/2009",xls,108544,4,847,6,10,2006,2009,118,Educação|Educação básica
404a14dd713f441f8321b5dfd0544cd7,"Ensino Fundamental: matrículas na rede pública municipal, independente da idade, sobre o total de pessoas de 7 a 14 anos residentes no Município do Rio de Janeiro - 1992-2006",xls,19456,1,28,4,17,1992,2006,36,Educação|Educação básica
4386c5f2dec04737a9917b6ce21e2686,"Número de professores em exercício, por organização acadêmica, segundo a dependência administrativa no Estado do Rio de Janeiro, entre 2000-2021",xls,158208,8,252,8,14,2000,2022,372,Educação|Ensino superior
450e2d32fabe43c2840e0859d0546d2b,"Ensino Fundamental Regular - IDEB de rede pública municipal: séries iniciais (1º ao 5º ano) - taxa de aprovação, nota média padronizada do SAEB e IDEB por municípios das capitais selecionadas entre 2005 - 2021",xls,36864,2,22,28,12,2005,2021,296,Educação|Educação básica
4705ac5e08df4950b98d27c7a5976832,"Educação de Jovens e Adultos: matrícula por nível de ensino, segundo as Dependências Administrativas, entre 2001-2005",xls,19968,1,41,7,13,2001,2007,116,Educação|Educação básica
49eb3240501f4b579fdd2bd3c9e948d3,"Ensino Fundamental e Ensino Médio - Número médio de alunos por turma, segundo a dependência administrativa entre 2007-2022",xls,59392,3,156,6,24,2007,2022,551,Educação|Educação básica
