base_year,target_year,ap,ra,bairro,ideb_5,ideb_9,delta
2013,2017,Área de Planejamento 3,XXV Pavuna,Costa Barros,4.160256410256411,4.2,0.0397435897435896
2013,2017,Área de Planejamento 3,XXV Pavuna,Parque Columbia,5.0,4.7,-0.2999999999999998
2013,2017,Área de Planejamento 3,XXV Pavuna,Pavuna,5.306037473976406,4.133606557377049,-1.1724309165993567
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Bancários,4.5036496350364965,4.35398773006135,-0.14966190497514642
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Cacuia,5.2,6.0,0.7999999999999998
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Cidade Universitária,5.1,4.7,-0.39999999999999947
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Freguesia (Ilha do Governador),4.0,4.3,0.2999999999999998
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Jardim Guanabara,6.643661971830985,5.5,-1.1436619718309853
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Moneró,5.788764044943821,4.755288461538462,-1.0334755834053588
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Portuguesa,4.438888888888888,4.55137614678899,0.11248725790010194
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Praia da Bandeira,5.9,3.9,-2.0000000000000004
2013,2017,Área de Planejamento 3,XX Ilha do Governador,Zumbi,5.9,4.7,-1.2000000000000002
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Anil,5.450773195876289,4.9,-0.5507731958762889
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Curicica,5.3603206412825655,4.9,-0.4603206412825651
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Freguesia (Jacarepaguá),5.698239436619718,4.780678851174935,-0.9175605854447832
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Jacarepaguá,5.675222816399288,4.83328947368421,-0.8419333427150786
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Pechincha,3.338235294117647,4.7,1.361764705882353
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Praça Seca,5.095320623916811,3.957926829268292,-1.1373937946485189
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Tanque,5.524742268041238,4.961347517730496,-0.5633947503107422
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Taquara,5.635502392344497,4.784086242299795,-0.8514161500447024
2013,2017,Área de Planejamento 4,XVI Jacarepaguá,Vila Valqueire,5.3203980099502495,5.1,-0.22039800995024983
2013,2017,Área de Planejamento 4,XXXIII Cidade de Deus,Cidade de Deus,4.5997171145686,4.1960352422907485,-0.40368187227785146
2013,2017,Área de Planejamento 4,XXIV Barra da Tijuca,Barra da Tijuca,5.830245535714286,5.22274459974587,-0.6075009359684156
2013,2017,Área de Planejamento 4,XXIV Barra da Tijuca,Recreio dos Bandeirantes,5.290909090909091,4.7,-0.5909090909090908
2013,2017,Área de Planejamento 4,XXIV Barra da Tijuca,Vargem Grande,5.8,4.703643724696356,-1.096356275303644
2013,2017,Área de Planejamento 5,XVII Bangu,Bangu,5.383494698017521,4.616699029126213,-0.7667956688913078
2013,2017,Área de Planejamento 5,XVII Bangu,Padre Miguel,5.714128440366972,4.431448763250883,-1.2826796771160884
2013,2017,Área de Planejamento 5,XVII Bangu,Senador Camará,5.228953974895398,4.391379310344828,-0.8375746645505702
2013,2017,Área de Planejamento 5,XVII Bangu,Vila Kennedy,5.191237113402061,4.092207792207793,-1.0990293211942683
2013,2017,Área de Planejamento 5,XVII Bangu,Jabour,4.758823529411765,3.7000000000000006,-1.058823529411764
2013,2017,Área de Planejamento 5,XXXII Realengo,Campo dos Afonsos,5.412903225806452,4.5,-0.9129032258064518
2013,2017,Área de Planejamento 5,XXXII Realengo,Deodoro,5.683766233766233,4.9,-0.783766233766233
